Producto,Precio Actual,Precio Requerido,Fecha y Hora
Sandalias Adilette Aqua,599,500,2020-10-07 18:09:37.056350
Tenis ZX 2K Boost,2799,2500,2020-10-07 19:09:37.632928
Sandalias Adilette Aqua,599,500,2020-10-07 19:09:38.060427
Tenis ZX 2K Boost,2799,2500,2020-10-07 20:09:39.448682
Sandalias Adilette Aqua,599,500,2020-10-07 20:09:40.735664
Tenis ZX 2K Boost,2799,2500,2020-10-08 09:54:46.642137
Sandalias Adilette Aqua,599,500,2020-10-08 09:54:48.162828
Tenis ZX 2K Boost,2799,2500,2020-10-08 11:27:58.014637
Sandalias Adilette Aqua,599,500,2020-10-08 11:27:59.041067
Tenis ZX 2K Boost,2799,2500,2020-10-08 12:27:59.813127
Sandalias Adilette Aqua,599,500,2020-10-08 12:28:00.452094
Tenis ZX 2K Boost,2799,2500,2020-10-08 13:28:01.354318
Sandalias Adilette Aqua,599,500,2020-10-08 13:28:02.044696
Tenis ZX 2K Boost,2799,2500,2020-10-08 14:28:03.161996
Sandalias Adilette Aqua,599,500,2020-10-08 14:28:04.383130
Tenis ZX 2K Boost,2799,2500,2020-10-08 15:28:05.783821
Sandalias Adilette Aqua,599,500,2020-10-08 15:28:06.364692
Tenis ZX 2K Boost,2799,2500,2020-10-08 17:19:01.314496
Sandalias Adilette Aqua,599,500,2020-10-08 17:19:01.923014
Tenis ZX 2K Boost,2799,2500,2020-10-08 18:19:01.396292
Sandalias Adilette Aqua,599,500,2020-10-08 18:19:02.259103
Tenis ZX 2K Boost,2799,2500,2020-10-08 19:19:03.743913
Sandalias Adilette Aqua,599,500,2020-10-08 19:19:04.181831
Tenis ZX 2K Boost,2799,2500,2020-10-09 10:43:11.033213
Sandalias Adilette Aqua,599,500,2020-10-09 10:43:11.600635
Tenis ZX 2K Boost,2799,2500,2020-10-09 11:43:13.022599
Sandalias Adilette Aqua,599,500,2020-10-09 11:43:14.736798
Tenis ZX 2K Boost,2799,2500,2020-10-09 13:14:07.695821
Sandalias Adilette Aqua,599,500,2020-10-09 13:14:08.898653
Tenis ZX 2K Boost,2799,2500,2020-10-09 17:26:00.774271
Sandalias Adilette Aqua,599,500,2020-10-09 17:26:01.991680
Tenis ZX 2K Boost,2799,2500,2020-10-09 18:26:03.373814
Sandalias Adilette Aqua,599,500,2020-10-09 18:26:06.808487
Tenis ZX 2K Boost,2799,2500,2020-10-09 19:47:25.654611
Sandalias Adilette Aqua,599,500,2020-10-09 19:47:26.123174
Tenis ZX 2K Boost,2799,2500,2020-10-09 20:47:31.995988
Sandalias Adilette Aqua,599,500,2020-10-09 20:47:37.069257
Tenis ZX 2K Boost,2799,2500,2020-10-09 21:47:39.084806
Sandalias Adilette Aqua,599,500,2020-10-09 21:47:42.879331
Tenis ZX 2K Boost,2799,2500,2020-10-09 22:47:44.665987
Sandalias Adilette Aqua,599,500,2020-10-09 22:47:45.244562
Tenis ZX 2K Boost,2799,2500,2020-10-09 23:47:45.734740
Sandalias Adilette Aqua,599,500,2020-10-09 23:47:46.163806
Tenis ZX 2K Boost,2799,2500,2020-10-10 08:38:42.886789
Sandalias Adilette Aqua,599,500,2020-10-10 08:38:43.457564
Tenis ZX 2K Boost,2799,2500,2020-10-10 09:38:44.222897
Sandalias Adilette Aqua,599,500,2020-10-10 09:38:46.601892
Tenis ZX 2K Boost,2799,2500,2020-10-10 10:38:47.854478
Sandalias Adilette Aqua,599,500,2020-10-10 10:38:48.534231
Tenis ZX 2K Boost,2799,2500,2020-10-10 11:38:49.384511
Sandalias Adilette Aqua,599,500,2020-10-10 11:38:50.788313
Tenis ZX 2K Boost,2799,2500,2020-10-10 12:38:52.477770
Sandalias Adilette Aqua,599,500,2020-10-10 12:38:53.001721
Tenis ZX 2K Boost,2799,2500,2020-10-10 13:38:57.096317
Sandalias Adilette Aqua,599,500,2020-10-10 13:38:57.778026
Tenis ZX 2K Boost,2799,2500,2020-10-10 14:38:58.345760
Sandalias Adilette Aqua,599,500,2020-10-10 14:38:59.387250
Tenis ZX 2K Boost,2799,2500,2020-10-12 09:43:03.237299
Sandalias Adilette Aqua,599,500,2020-10-12 09:43:03.929150
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-14 17:57:37.676760
Sandalias Adilette Aqua,599,500,2020-10-14 17:57:38.845391
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-14 18:57:39.330708
Sandalias Adilette Aqua,599,500,2020-10-14 18:57:39.753904
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 09:37:48.440558
Sandalias Adilette Aqua,599,500,2020-10-15 09:37:50.699454
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 10:58:48.765894
Sandalias Adilette Aqua,599,500,2020-10-15 10:58:49.898786
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 11:58:50.449367
Sandalias Adilette Aqua,599,500,2020-10-15 11:58:51.009723
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 12:58:53.303866
Sandalias Adilette Aqua,599,500,2020-10-15 12:58:54.798294
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 13:58:55.526076
Sandalias Adilette Aqua,599,500,2020-10-15 13:58:56.152208
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 16:38:45.079227
Sandalias Adilette Aqua,599,500,2020-10-15 16:38:45.460895
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 17:38:48.321283
Sandalias Adilette Aqua,599,500,2020-10-15 17:38:51.037305
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-15 23:43:04.318223
Sandalias Adilette Aqua,599,500,2020-10-15 23:43:07.169534
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-31 10:49:29.042812
Sandalias Adilette Aqua,599,500,2020-10-31 10:49:30.854846
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-31 10:50:10.581797
Sandalias Adilette Aqua,599,500,2020-10-31 10:50:11.176114
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-31 11:50:12.256874
Sandalias Adilette Aqua,599,500,2020-10-31 11:50:12.901805
Tenis Lite Racer 2.0 RBN,1399,1300,2020-10-31 13:02:52.144970
Sandalias Adilette Aqua,599,500,2020-10-31 13:02:53.085747
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-02 11:02:45.663278
Sandalias Adilette Aqua,599,500,2020-11-02 11:02:46.249833
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-02 12:02:48.258855
Sandalias Adilette Aqua,599,500,2020-11-02 12:02:48.951833
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-02 13:02:49.731635
Sandalias Adilette Aqua,599,500,2020-11-02 13:02:53.777608
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-02 14:02:54.727392
Sandalias Adilette Aqua,599,500,2020-11-02 14:02:55.324536
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 10:37:14.346640
Sandalias Adilette Aqua,599,500,2020-11-03 10:37:15.610175
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 11:37:17.955065
Sandalias Adilette Aqua,599,500,2020-11-03 11:37:19.888296
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 12:37:23.353288
Sandalias Adilette Aqua,599,500,2020-11-03 12:37:25.117364
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 13:37:29.509998
Sandalias Adilette Aqua,599,500,2020-11-03 13:37:30.831738
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 16:07:01.122156
Sandalias Adilette Aqua,599,500,2020-11-03 16:07:05.303637
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 17:07:08.838675
Sandalias Adilette Aqua,599,500,2020-11-03 17:07:10.921833
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-03 18:07:11.641967
Sandalias Adilette Aqua,599,500,2020-11-03 18:07:12.203773
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-04 09:33:38.715181
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-04 09:33:41.156567
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-04 10:33:42.316162
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-04 11:08:14.900887
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 18:08:50.032380
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 18:08:51.895155
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 19:08:53.767942
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 19:08:55.571482
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 20:08:56.051301
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 20:08:57.437036
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 21:08:58.724130
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 21:09:00.173407
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 22:09:01.751818
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 22:09:03.173087
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-06 23:09:03.641479
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-06 23:09:07.426466
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 00:09:07.858995
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 00:09:09.184935
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 01:09:09.867923
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 01:09:14.661532
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 02:09:15.144348
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 02:09:16.143652
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 03:09:17.848782
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 03:09:20.056061
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 04:09:20.433601
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 04:09:22.051850
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 05:09:23.583027
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 05:09:25.285053
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 06:09:25.929221
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 06:09:26.878295
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 07:09:28.831455
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 07:09:30.587488
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 08:09:31.003347
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 08:09:32.517061
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 09:09:34.219075
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 09:09:35.583189
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 10:09:36.139512
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 10:09:37.246516
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 11:09:37.839228
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-07 11:09:39.226292
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-07 12:09:41.013107
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-10 12:33:07.566052
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-10 12:36:32.782904
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-10 16:12:52.209305
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-11 09:41:43.117646
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-11 10:41:44.566074
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-11 10:41:46.627088
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-11 11:42:35.750217
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-11 11:42:38.385539
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-11 12:42:52.575655
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-11 12:43:10.064516
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-11 16:03:27.119963
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-20 17:48:08.535230
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-20 17:48:11.589064
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-20 18:48:12.224399
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-20 18:48:13.337764
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-20 19:48:16.585099
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-20 19:48:19.994915
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-20 20:48:20.859278
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-20 20:48:24.451998
Tenis Lite Racer 2.0 RBN,1399,1300,2020-11-21 09:35:46.847960
Sandalias Adilette Aqua (UNISEX),599,500,2020-11-21 09:35:48.126893
